x,y,z
-1002.51411,-2542.29611,6768.38522
4293.89595,5481.45417,6765.77384
-2052.24986,600.51164,6762.16999
-891.74247,653.48899,6759.50171
6172.21122,-652.85855,6756.15164
2079.4445,1027.51783,6755.77707
-1266.80862,-4466.09174,6755.40197
3848.53124,-783.43868,6753.52474
6524.51061,-2821.06289,6751.98135
847.88165,3962.10426,6751.51498
4463.55808,-1316.00615,6747.66717
2379.88013,4945.31087,6744.95624
5072.76447,-2916.85977,6743.76526
646.50405,1314.71305,6739.13878
2724.12778,680.14825,6737.64564
-978.4989,3191.15646,6737.31168
2871.52191,-1941.38223,6736.2796
2867.92403,-1712.13029,6736.16393
4810.81878,-962.1249,6736.08026
5852.97184,-2481.01415,6732.09972
4115.57275,3101.218,6727.76928
-5605.11447,-560.73604,6724.21168
2388.46603,4840.79652,6721.47418
718.65854,3672.46094,6720.72637
5840.23995,-674.03861,6719.87009
4959.8705,1815.31732,6719.7969
-2914.4117,1958.23312,6712.94546
2892.42607,-2422.01477,6703.67627
3151.09892,-2852.16273,6702.52957
2420.58904,-1831.52166,6697.16495
3739.88101,-1127.17696,6695.91704
2677.18913,-1443.00957,6694.48453
3006.1529,-502.09706,6691.53829
2857.84438,-669.31799,6683.11914
3043.70244,-5500.81808,6681.68216
3333.48383,-3222.4586,6678.46112
2259.30671,1171.59797,6674.07653
4361.41403,-2425.31734,6673.84855
2951.69451,-3740.52078,6669.50065
-319.61719,-717.02175,6665.33836
2865.92958,-1784.7669,6655.2776
-6880.70124,-1625.41445,6653.83889
5768.01117,-3136.20257,6651.17629
2994.83239,980.76743,6643.40392
4067.58142,2767.49328,6640.56556
3455.96602,-2442.85297,6639.94701
5547.16767,1452.97546,6638.11337
3710.09254,1177.67489,6634.74925
4282.18836,-2674.76731,6629.69997
3623.65238,2226.53471,6626.59738
2387.74915,1485.72809,6621.81449
-3870.17079,1128.76421,6621.19416
5170.34358,-294.21989,6617.9648
-175.40304,1360.61435,6616.02052
4105.33262,1188.37658,6613.17875
-1943.14398,-266.63779,6611.77171
2420.75765,-3243.29578,6611.61915
1967.58136,121.20048,6608.80954
-2328.41133,-1666.54766,6599.86975
2785.98946,-1136.56888,6592.15091
-1849.54288,198.77137,6591.87356
-1860.9551,4992.09648,6590.46715
907.75846,3261.15272,6588.66724
2421.50448,3153.26967,6585.19557
-3905.15744,5367.93294,6578.67059
-1327.20909,161.81242,6576.87947
-4284.53418,-674.32359,6571.77164
-2675.00248,-2493.05161,6569.73087
3205.10703,-3724.67848,6560.51021
-2410.5202,-275.31662,6558.63858
-267.41374,478.53985,6556.06842
2332.29956,2998.24345,6554.61854
-2573.46753,-5233.61901,6552.34713
3323.49098,2476.38778,6550.90949
4491.51004,-1740.63234,6549.40865
-1320.64793,2070.52949,6547.59067
-4491.44895,47.55554,6543.14786
4494.32004,-2308.50997,6540.12367
-1823.24024,1684.13558,6537.70826
2298.76905,-939.3557,6537.23326
4197.73632,-3393.39452,6533.17088
2858.27468,-1297.75455,6531.16212
-3814.6721,5937.12025,6531.04193
-2838.00578,-1030.85063,6529.94879
-1299.73504,-6312.51523,6529.22432
-405.7739,6200.00692,6523.61134
-1933.22382,4583.41235,6514.69201
3507.37594,404.45353,6511.86685
4190.59603,-1036.69268,6511.47675
-4526.4635,1791.78751,6511.43938
-1014.58071,-687.19653,6508.15783
5997.41706,-2723.62136,6507.43824
313.17965,-3528.40788,6505.52839
1731.53386,-4440.85165,6505.15042
-4304.19144,-3500.38352,6501.73932
2344.0721,1356.64143,6500.63008
-730.64934,-5388.13328,6500.20074
3248.07736,1456.88902,6495.93398
-606.52103,-2790.37343,6491.93615
-3009.93522,1698.35209,6490.11799
4735.47842,-712.66273,6488.74212
-3353.64905,5554.37412,6486.13652
3261.96459,-764.79239,6484.90314
6345.15703,1364.93162,6484.13021
-3973.60571,-4526.53816,6483.48569
4501.76435,833.36887,6482.8831
821.44495,-347.90473,6474.78237
-2033.61114,473.66744,6474.33996
2840.16299,1332.0625,6474.27562
2600.6066,479.94074,6473.68899
2437.18878,2808.12039,6470.41126
-1773.89052,-5301.03259,6465.58031
1783.97275,-388.09372,6458.3152
-1239.08231,258.95582,6456.01739
2905.48625,433.56851,6455.1882
3572.69376,-6313.31697,6452.71119
3728.69341,1397.61299,6444.81441
-6400.83584,-472.3517,6438.23041
-402.59074,2951.83451,6436.13862
-5026.03403,-3611.94372,6435.23306
2271.75212,-1753.80867,6430.91275
-1512.02497,1202.71395,6427.30663
1628.91719,1044.11815,6426.46535
2343.99605,364.005,6425.44153
298.19762,500.45137,6425.25774
92.95254,1206.36021,6422.97992
-5068.32196,-3774.49711,6420.86654
-3683.40115,-1865.30549,6420.65862
1800.13773,-209.67348,6415.60298
-4921.41306,1365.3094,6411.07315
3368.41696,-2225.40429,6410.41747
3334.04652,3729.77052,6408.67871
1830.09513,-4197.0824,6405.88629
3316.06723,-2676.02652,6404.22581
3429.18629,1710.60162,6403.60998
2252.8702,3491.48276,6403.57632
4430.02517,1546.07596,6400.99097
-2635.25343,-1020.4043,6396.58982
-3232.5718,6551.51604,6394.36001
-2776.04102,-557.31655,6394.14899
-2823.97072,3900.54087,6388.34645
880.10903,195.42718,6388.31172
3083.55267,-24.1989,6386.73656
1270.06136,-1968.77628,6386.53874
1024.93321,1423.72801,6385.94095
3140.46095,633.00615,6384.13772
2348.91942,-154.52927,6382.45339
-529.78748,2012.96624,6380.4626
-1002.95077,-3289.78909,6378.19387
-2791.51838,-662.35571,6377.37069
769.70871,7155.82859,6376.30727
3184.87481,-1310.37078,6375.69452
2451.25284,2263.76794,6373.68617
3243.6077,-788.37102,6372.95951
1637.71808,3527.09441,6369.39414
-1049.19001,-707.95,6368.9581
3642.92904,1020.88138,6368.39961
3301.82048,3105.37882,6363.15646
-732.35792,-6926.59967,6362.82233
-1893.70066,1268.95724,6360.614
3880.94856,-2352.99827,6358.99137
2935.25819,744.4283,6357.94206
1797.40104,2578.88628,6357.5138
4213.85527,-311.89058,6357.50059
2781.48157,-2444.49321,6352.44393
3972.86387,-5150.36505,6350.95848
4765.83966,994.51145,6348.04847
6481.51102,-3965.22089,6347.96354
3865.16071,5237.92344,6345.811
1211.84796,2135.01978,6344.29887
4341.88126,-4232.11107,6339.08976
3691.31379,4387.01441,6338.74356
1077.94938,2623.90806,6338.64607
2764.48827,-1790.40825,6338.17395
2872.45215,-1611.92559,6338.06916
4527.21626,-2765.70413,6336.91898
-398.26083,2930.91393,6336.66149
